Game;Team;Player;#;Nation;Pos;Age;Min;Gls;Ast;PK;PKatt;Sh;SoT;CrdY;CrdR;Touches;Tkl;Int;Blocks;xG;npxG;xAG;SCA;GCA;Cmp;Att;Cmp%;PrgP;Carries;PrgC;Att;Succ
Paris Saint-Germain vs. Dortmund;Paris S-G;Warren Zaire-Emery;33;fr FRA;RM;17-195;90;0;0;0;0;0;0;0;0;60;2;0;1;0.0;0.0;0.0;2;0;45;50;90.0;2;49;4;3;2
Paris Saint-Germain vs. Dortmund;Paris S-G;Lucas Hernández;21;fr FRA;LB;27-217;87;0;0;0;0;2;0;0;0;94;4;0;1;0.1;0.1;0.0;1;0;71;79;89.9;3;69;2;1;1
Paris Saint-Germain vs. Dortmund;Paris S-G;Danilo Pereira;15;pt POR;CB;32-010;3;0;0;0;0;0;0;0;0;7;0;0;1;0.0;0.0;0.2;1;0;6;6;100.0;1;6;0;0;0
Paris Saint-Germain vs. Dortmund;Paris S-G;Milan Škriniar;37;sk SVK;CB;28-220;90;0;0;0;0;0;0;0;0;105;4;2;1;0.0;0.0;0.0;0;0;95;98;96.9;5;90;0;0;0
Paris Saint-Germain vs. Dortmund;Paris S-G;Marquinhos;5;br BRA;CB,LB;29-128;90;0;0;0;0;0;0;0;0;107;2;2;2;0.0;0.0;0.0;0;0;89;96;92.7;1;85;1;0;0
Paris Saint-Germain vs. Dortmund;Paris S-G;Achraf Hakimi;2;ma MAR;RB;24-319;90;1;0;0;0;4;1;0;0;112;3;3;1;0.5;0.5;0.1;6;1;85;97;87.6;16;90;3;3;3
Paris Saint-Germain vs. Dortmund;Paris S-G;Gianluigi Donnarumma;99;it ITA;GK;24-206;90;0;0;0;0;0;0;0;0;32;0;0;0;0.0;0.0;0.0;0;0;27;31;87.1;0;22;0;0;0
Paris Saint-Germain vs. Dortmund;Dortmund;Donyell Malen;21;nl NED;FW;24-253;61;0;0;0;0;2;1;0;0;24;0;0;1;0.1;0.1;0.1;2;0;6;9;66.7;0;12;1;4;2
Paris Saint-Germain vs. Dortmund;Dortmund;Niclas Füllkrug;14;de GER;FW;30-222;29;0;0;0;0;3;0;0;0;17;0;0;1;0.1;0.1;0.0;1;0;5;9;55.6;2;10;1;0;0
Paris Saint-Germain vs. Dortmund;Dortmund;Karim Adeyemi;27;de GER;FW,LM;21-244;90;0;0;0;0;1;0;0;0;34;1;0;0;0.0;0.0;0.1;5;0;15;21;71.4;1;21;1;4;0
Paris Saint-Germain vs. Dortmund;Dortmund;Marcel Sabitzer;20;at AUT;CM;29-186;13;0;0;0;0;0;0;0;0;2;0;0;1;0.0;0.0;0.0;0;0;1;1;100.0;0;0;0;0;0
Paris Saint-Germain vs. Dortmund;Dortmund;Felix Nmecha;8;de GER;CM;22-344;77;0;0;0;0;0;0;0;0;46;3;3;1;0.0;0.0;0.1;3;0;23;30;76.7;3;25;0;4;2
Paris Saint-Germain vs. Dortmund;Dortmund;Emre Can;23;de GER;CM;29-250;75;0;0;0;0;1;0;1;0;35;2;1;1;0.0;0.0;0.0;1;0;19;26;73.1;1;23;1;0;0
Paris Saint-Germain vs. Dortmund;Dortmund;Jamie Bynoe-Gittens;43;eng ENG;RM,CM;19-042;15;0;0;0;0;1;0;0;0;7;0;0;0;0.1;0.1;0.0;2;0;3;4;75.0;1;7;2;2;1
Paris Saint-Germain vs. Dortmund;Dortmund;Julian Brandt;19;de GER;CM;27-140;61;0;0;0;0;0;0;0;0;37;1;0;1;0.0;0.0;0.2;3;0;16;27;59.3;1;25;1;5;1
Paris Saint-Germain vs. Dortmund;Dortmund;Marco Reus;11;de GER;CM;34-111;29;0;0;0;0;1;0;0;0;18;0;0;0;0.0;0.0;0.1;2;0;13;15;86.7;4;16;1;1;1
Paris Saint-Germain vs. Dortmund;Dortmund;Julian Ryerson;26;no NOR;WB,RB;25-306;90;0;0;0;0;1;0;1;0;44;0;0;0;0.1;0.1;0.0;2;0;28;34;82.4;0;25;1;5;4
Paris Saint-Germain vs. Dortmund;Dortmund;Marius Wolf;17;de GER;WB;28-115;75;0;0;0;0;1;0;0;0;45;2;1;2;0.1;0.1;0.0;1;0;24;33;72.7;2;26;0;2;1
Paris Saint-Germain vs. Dortmund;Dortmund;Ramy Bensebaini;5;dz ALG;LB;28-156;15;0;0;0;0;0;0;0;0;13;0;0;0;0.0;0.0;0.0;1;0;8;12;66.7;0;10;0;0;0
Paris Saint-Germain vs. Dortmund;Dortmund;Nico Schlotterbeck;4;de GER;CB;23-292;90;0;0;0;0;0;0;1;0;63;3;2;5;0.0;0.0;0.0;0;0;34;45;75.6;4;38;0;4;1
Paris Saint-Germain vs. Dortmund;Dortmund;Mats Hummels;15;de GER;CB;34-277;90;0;0;0;0;3;0;0;0;42;4;2;2;0.2;0.2;0.0;1;0;25;28;89.3;3;26;3;1;1
